"","document.id","styles.id","styles.trim","styles.drivewheels","styles.doors","categories.market","categories.epaclass","categories.vehiclesize","categories.bodytype","categories.vehiclestyle","categories.vehicletype","engine.cylinder","engine.displacement","engine.horsepower","engine.rpm.hp","engine.torque","engine.rpm.tq"
"115",1,"200721407","Pop","front wheel drive","4","Crossover","Sport Utility Vehicles","Compact","SUV","4dr SUV","SUV","4","1368","160","5500","184","2500"
"116",1,"200493193","SEL","front wheel drive","4","Hybrid","Midsize Cars","Compact","Car","Wagon","Car","4","1999","188","6000","129","4000"
"117",1,"200741404","SEL","front wheel drive","4","Hybrid","Midsize Cars","Compact","Car","Wagon","Car","4","1999","188","6000","129","4000"
"118",1,"101251407","E-150","rear wheel drive","3","Flex Fuel","Cargo Vans","Midsize","Van","Cargo Van","Van","8","4606","225","4800","286","3500"
"119",1,"101016618","E-150","rear wheel drive","3","N/A","Cargo Vans","Midsize","Van","Cargo Van","Van","8","4606","225","4800","286","3500"
"120",1,"101159220","SE","front wheel drive","4","Crossover","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","6","3496","265","6250","250","4500"
"121",1,"100375993","XLS","front wheel drive","4","Crossover","Sport Utility Vehicles","Compact","SUV","4dr SUV","SUV","4","2261","153","5800","152","4250"
"122",1,"101321789","XLS","front wheel drive","4","Crossover","Sport Utility Vehicles","Compact","SUV","4dr SUV","SUV","4","2488","171","6000","171","4500"
"123",1,"101351631","XLS","front wheel drive","4","Crossover","Sport Utility Vehicles","Compact","SUV","4dr SUV","SUV","4","2488","171","6000","171","4500"
"124",1,"101388389","S","front wheel drive","4","Crossover","Sport Utility Vehicles","Compact","SUV","4dr SUV","SUV","4","2488","168","6000","170","4500"
"125",1,"200702167","S","front wheel drive","4","Crossover","Sport Utility Vehicles","Compact","SUV","4dr SUV","SUV","4","2488","168","6000","170","4500"
"126",1,"100531498","Base","front wheel drive","4","Crossover,Hybrid","Sport Utility Vehicles","Compact","SUV","4dr SUV","SUV","4","2261","155","6000","124","4250"
"127",1,"101020574","Base","front wheel drive","4","Crossover,Hybrid","Sport Utility Vehicles","Compact","SUV","4dr SUV","SUV","4",NA,"177","6000","136","4500"
"128",1,"101175831","Base","front wheel drive","4","Crossover,Hybrid","Sport Utility Vehicles","Compact","SUV","4dr SUV","SUV","4",NA,"177","6000","136","4500"
"129",1,"101321952","Base","front wheel drive","4","Crossover,Hybrid","Sport Utility Vehicles","Compact","SUV","4dr SUV","SUV","4","2488","177","6000","136","4500"
"130",1,"101403354","XL","rear wheel drive","4","Flex Fuel","Sport Utility Vehicles","Large","SUV","4dr SUV","SUV","8","5408","310","5100","365","3600"
"131",1,"101420021","Base","front wheel drive","4","Crossover,Flex Fuel","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","6","3497","290","6500","255","4000"
"132",1,"200467051","Base","front wheel drive","4","Crossover,Flex Fuel","Sport Utility Vehicles","Midsize","SUV","4dr SUV","SUV","6","3497","290","6500","255","4000"
"133",1,"100078156","XLS","rear wheel drive","4","N/A","Standard Pickup Trucks","Compact","Truck","Crew Cab Pickup","Truck","6","4015","210","5200","240","3000"
"134",1,"100903333","XL","rear wheel drive","2","Flex Fuel","Standard Pickup Trucks","Large","Truck","Regular Cab Pickup","Truck","6","4196","202","4350","260","3750"
"135",1,"101170629","XL","rear wheel drive","2","N/A","Standard Pickup Trucks","Large","Truck","Regular Cab Pickup","Truck","8","4606","248","4750","294","4000"
"136",1,"200489499","XLT","rear wheel drive","4","Flex Fuel","Standard Pickup Trucks","Large","Truck","Crew Cab Pickup","Truck","6","3731","302","6500","278","4000"
