Count of cars.make,,,,
score,cars.make,cars.model,cars.distance,Total
,,mariner-hybrid,,1
,,,1.202549439,1
0.116260204,,,,2
,nissan,,,2
,,altima-hybrid,,2
,,,2.171261269,1
,,,2.593067953,1
0.110981459,,,,1
,subaru,,,1
,,crosstrek,,1
,,,1.834226476,1
0.109659052,,,,10
,scion,,,10
,,ia,,10
,,,0.253592798,1
,,,0.944571784,1
,,,1.274880412,1
,,,1.609733899,1
,,,2.301547294,1
,,,2.75654047,1
,,,8.418075324,1
,,,9.752780034,1
,,,10.48104864,1
,,,10.94021665,1
0.109180558,,,,4
,toyota,,,4
,,camry-hybrid,,4
,,,2.056631931,1
,,,2.230433849,1
,,,2.377148232,1
,,,3.875354668,1
0.10865446,,,,2
,ford,,,2
,,escape-hybrid,,2
,,,2.259728607,1
,,,2.268755007,1
0.107441636,,,,7
,subaru,,,7
,,xv-crosstrek,,7
,,,0.490780729,1
,,,0.941897676,1
,,,1.590254408,1
,,,1.911943789,1
,,,2.422022465,1
,,,3.45777178,1
,,,10.90582697,1
0.106774396,,,,3
,mazda,,,3
,,3,,3
,,,2.254208396,1
,,,2.405853305,1
,,,2.644641688,1
0.105792662,,,,1
,toyota,,,1
,,highlander-hybrid,,1
,,,1.077789208,1
0.105406317,,,,1
,toyota,,,1
,,highlander-hybrid,,1
,,,1.030504775,1
0.104375339,,,,2
,subaru,,,2
,,impreza,,2
,,,0.914974547,1
,,,1.056019861,1
0.103471836,,,,3
,mazda,,,3
,,3,,3
,,,1.85036531,1
,,,2.529808941,1
,,,11.12097227,1
0.101855663,,,,1
,chevrolet,,,1
,,cruze,,1
,,,1.865895963,1
0.101080469,,,,1
,nissan,,,1
,,sentra,,1
,,,1.918765392,1
0.100835516,,,,3
,subaru,,,3
,,impreza,,3
,,,2.079049311,1
,,,2.162690942,1
,,,2.993146229,1
0.099917679,,,,13
,honda,,,13
,,civic,,13
,,,0.413417991,1
,,,0.71664321,1
,,,1.053413236,1
,,,1.233107295,1
,,,2.39045582,1
,,,2.736221368,1
,,,3.182766445,1
,,,3.268588248,1
,,,3.331979998,1
,,,9.596476002,1
,,,10.16804637,1
,,,10.56715623,1
,,,12.42109356,1
0.09969475,,,,4
,mazda,,,4
,,3,,4
,,,2.627079875,1
,,,2.843479923,1
,,,4.198333471,1
,,,10.68989333,1
0.099584878,,,,1
,honda,,,1
,,cr-v,,1
,,,2.390786176,1
0.099530082,,,,3
,toyota,,,3
,,corolla,,3
,,,1.462745784,1
,,,3.082679321,1
,,,4.264570796,1
0.09831584,,,,8
,ford,,,8
,,fiesta,,8
,,,0.398550982,1
,,,1.750536325,1
,,,1.875036991,1
,,,2.065263158,1
,,,2.409990882,2
,,,2.775161806,1
,,,4.322957162,1
0.097540646,,,,2
,mazda,,,2
,,3,,2
,,,0.518649946,1
,,,2.419614592,1
0.096282485,,,,1
,mazda,,,1
,,cx-5,,1
,,,1.392201843,1
0.095990259,,,,5
,toyota,,,5
,,corolla,,5
,,,1.907621224,1
,,,2.027731393,1
,,,2.379077618,1
,,,4.057780943,1
,,,9.635045702,1
0.095015875,,,,2
,subaru,,,2
,,forester,,2
,,,1.57990831,1
,,,1.6908542,1
0.094929863,,,,1
,toyota,,,1
,,rav4,,1
,,,2.05939375,1
0.094852754,,,,1
,volkswagen,,,1
,,golf-sportwagen,,1
,,,1.233107295,1
0.094776017,,,,7
,ford,,,7
,,fiesta,,7
,,,0.51008229,1
,,,0.960353931,1
,,,1.386373206,1
,,,1.680191177,1
,,,2.033690288,1
,,,2.065263158,1
,,,2.288505248,1
0.094736064,,,,4
,toyota,,,4
,,rav4,,4
,,,1.01633974,1
,,,1.076607797,1
,,,10.50807055,1
,,,11.12433139,1
0.094324395,,,,1
,toyota,,,1
,,matrix,,1
,,,2.404145838,1
0.094216775,,,,2
,toyota,,,2
,,matrix,,2
,,,2.17724465,1
,,,2.772405886,1
0.094000823,,,,7
,hyundai,,,7
,,elantra,,7
,,,0.597936151,1
,,,0.704056009,1
,,,0.756797624,1
,,,2.180420039,1
,,,2.372735963,1
,,,2.671562522,1
,,,3.776571963,1
0.093690168,,,,2
,honda,,,2
,,civic,,2
,,,9.913980457,1
,,,10.52378108,1
0.093591915,,,,2
,toyota,,,2
,,matrix,,2
,,,1.066323221,1
,,,2.733999472,1
0.093504689,,,,2
,toyota,,,2
,,corolla,,2
,,,0.67723409,1
,,,2.831371355,1
0.093483165,,,,3
,toyota,,,3
,,corolla,,3
,,,0.525066437,1
,,,2.525585237,1
,,,3.103376045,1
0.093334296,,,,7
,ford,,,7
,,focus,,7
,,,1.242842326,1
,,,1.343811436,1
,,,2.240153859,1
,,,2.428733708,1
,,,2.845861018,1
,,,8.418075324,1
,,,10.46799765,1
0.092871805,,,,2
,mazda,,,2
,,cx-5,,2
,,,1.774207254,1
,,,1.814713803,1
0.092838033,,,,14
,honda,,,11
,,civic,,11
,,,1.173905733,1
,,,1.375650474,1
,,,1.383539629,1
,,,1.586387659,1
,,,2.001738547,1
,,,2.648930188,1
,,,3.047584641,1
,,,3.09776483,1
,,,4.179219863,1
,,,8.558724067,1
,,,9.866280474,1
,toyota,,,3
,,corolla,,3
,,,1.0997756,1
,,,1.268027375,1
,,,2.974203953,1
0.092764057,,,,5
,nissan,,,5
,,versa,,5
,,,0.936891937,1
,,,1.351096056,1
,,,2.180243873,1
,,,2.952458023,1
,,,4.363642696,1
0.092450436,,,,2
,toyota,,,2
,,corolla,,2
,,,1.980442223,1
,,,11.10957287,1
0.091817589,,,,1
,honda,,,1
,,civic,,1
,,,10.27313776,1
0.091481443,,,,3
,toyota,,,3
,,corolla,,3
,,,2.055989973,1
,,,2.43590633,1
,,,9.563502174,1
0.091062918,,,,3
,honda,,,3
,,civic,,3
,,,2.537364889,1
,,,2.580022122,1
,,,10.14507384,1
0.090900048,,,,3
,volkswagen,,,3
,,jetta,,3
,,,2.214009709,1
,,,2.350583426,1
,,,10.79413365,1
0.090860095,,,,3
,toyota,,,3
,,rav4,,3
,,,1.97881585,1
,,,2.23972494,1
,,,10.6927443,1
0.090461,,,,2
,hyundai,,,2
,,elantra,,2
,,,1.470660635,1
,,,3.659729852,1
0.090352296,,,,1
,nissan,,,1
,,altima,,1
,,,1.107989079,1
0.09014157,,,,2
,subaru,,,2
,,forester,,2
,,,1.319379955,1
,,,10.45423436,1
0.089519221,,,,1
,honda,,,1
,,odyssey,,1
,,,3.622912344,1
0.089454483,,,,1
,toyota,,,1
,,sienna,,1
,,,2.28196947,1
0.089331982,,,,2
,mazda,,,2
,,cx-5,,2
,,,1.741650963,1
,,,2.965726682,1
0.08929821,,,,21
,scion,,,18
,,im,,18
,,,0.77344286,1
,,,0.820400492,1
,,,0.888100818,1
,,,0.888166404,1
,,,0.989336102,2
,,,1.004795358,1
,,,1.02293078,1
,,,1.189719228,1
,,,1.222754191,1
,,,1.239444006,1
,,,1.319076179,1
,,,1.845075278,1
,,,2.012480123,1
,,,2.593067953,2
,,,2.901801408,1
,,,2.96460101,1
,toyota,,,3
,,corolla,,3
,,,0.320087553,1
,,,1.745247123,1
,,,9.563502174,1
0.088716814,,,,2
,chevrolet,,,2
,,cruze,,2
,,,8.558724067,1
,,,10.30265397,1
0.088665363,,,,1
,hyundai,,,1
,,elantra,,1
,,,2.990183971,1
0.088073487,,,,2
,ford,,,2
,,transit-connect,,2
,,,1.36952043,1
,,,1.3975377,1
0.08794162,,,,4
,nissan,,,4
,,altima,,4
,,,1.928462165,1
,,,2.056631931,1
,,,11.31038002,1
,,,12.05896222,1
0.087850217,,,,2
,toyota,,,2
,,rav4,,2
,,,1.219464147,1
,,,9.566155023,1
0.087570323,,,,6
,toyota,,,6
,,rav4,,6
,,,0.592818876,1
,,,1.544656084,1
,,,2.328413276,1
,,,2.595239911,1
,,,2.988194096,1
,,,3.69518661,1
0.087502573,,,,1
,chevrolet,,,1
,,sonic,,1
,,,10.58374097,1
0.087493464,,,,1
,jeep,,,1
,,patriot,,1
,,,1.857173466,1
0.087329631,,,,7
,honda,,,7
,,civic,,7
,,,0.126092777,1
,,,0.495723121,1
,,,1.375960893,1
,,,1.503766298,1
,,,2.270643501,1
,,,2.520176335,1
,,,3.712080625,1
0.087118321,,,,1
,mazda,,,1
,,5,,1
,,,11.13526761,1
0.086568604,,,,3
,subaru,,,3
,,xv-crosstrek,,3
,,,0.645998787,1
,,,9.549786628,1
,,,11.3430943,1
0.086158065,,,,3
,ford,,,3
,,escape,,3
,,,0.841162534,1
,,,1.700848749,1
,,,2.28196947,1
0.085985874,,,,1
,ford,,,1
,,escape,,1
,,,1.375609303,1
0.085979398,,,,1
,honda,,,1
,,odyssey,,1
,,,4.179219863,1
0.085813183,,,,5
,honda,,,5
,,cr-v,,5
,,,0.683642211,1
,,,1.624336477,1
,,,1.990592739,1
,,,2.965610337,1
