"","styles.id","Curb Weight","Epa City Mpg","Epa Combined Mpg","Epa Interior Volume","Max Cargo Capacity","Total Number Of Speakers"
"177",101020816,NA,"26","29",NA,NA,"6"
"178",101033162,"2588","24","28","107.1",NA,"4"
"179",101037425,"4548","15","17",NA,"83.5","8"
"180",101039267,"3527","18",NA,"100.6","12.4","8"
"181",101042868,"2932","48","46","110.6",NA,"6"
"182",101042932,"3281","22","24",NA,"57.9","4"
"183",101047046,"3076","23","26","97.2",NA,"6"
"184",101047086,"3471","35","34","110.8",NA,"6"
"185",101047453,"4092","15","18",NA,"72.1","8"
"186",101047618,"3230","22","25","120.0",NA,"6"
"187",101052651,"3428","23","25","89.0",NA,"9"
"188",101061057,"2588","26","29","95.2",NA,NA
"189",101061284,"4525","14","16",NA,NA,"6"
"190",101064475,"4387","16","18",NA,"147.4","4"
"191",101068494,"3070","21","23","120.5","62.7","4"
"192",101077136,"3389","20","23",NA,"72.9","4"
"193",101081441,"4316","16","18",NA,"68.5","6"
"194",101082655,"3252","18","21",NA,NA,"10"
"195",101082763,"3351","18","21","99.6",NA,"10"
"196",101085330,"3782","15","16",NA,"61.2","6"
"197",101109982,"1808","33","36",NA,"7.8","2"
"198",101119958,"2723","40","41","100.9","31.5","4"
"199",101135358,"3241","19","22",NA,NA,NA
"200",101136093,"3042","51","50","115.3","39.6",NA
"201",101138067,"3285","22","24","116.8",NA,"4"
"202",101140830,"2865","26","28","113.8","48.9","4"
"203",101140837,"2723","26","30","104.3",NA,"4"
"204",101142273,"3401","18","21","96.7",NA,"4"
"205",101142322,"4178","18","21",NA,"80.3","9"
"206",101147985,"3400","20","23","107.1",NA,"7"
"207",101148034,"3219","21","24","109.0",NA,"10"
"208",101148562,"2868","25","28","105.9",NA,"4"
"209",101159220,"4078","18","20",NA,"69.0","4"
"210",101162054,"3386","19","22","139.7","71.3","4"
"211",101162055,"3034","21","25","105.9",NA,"8"
"212",101169826,"2588","24","28","107.1",NA,"4"
"213",101170629,"4743","15","16",NA,NA,NA
"214",101174022,"3250","20","22",NA,"68.3","4"
"215",101174773,"3238","21","24","105.0","38.4","8"
"216",101175831,NA,"34","32",NA,"66.1","4"
"217",101185137,"2668","27","29","95.0","35.7","6"
"218",101186695,"3527","23","26","103.0","34.0","10"
"219",101187193,"3426","18","20","56.5","4.2","4"
"220",101187874,"3527","18","21","100.6","12.4","8"
"221",101193252,"4387","16","18",NA,"147.4","4"
"222",101197477,"2723","26","29","112.1",NA,"4"
"223",101200427,"2489","27","29","111.4","57.3","4"
"224",101200497,"2311","29","32","93.9","25.7","4"
"225",101200599,"3252","18","22",NA,NA,"10"
"226",101200928,"3351","18","22","99.6",NA,NA
"227",101201272,"3204","22","25","120.0",NA,"6"
"228",101201386,"3360","22","24",NA,"73.0","6"
"229",101201453,"3230","22","25","107.0",NA,"8"
"230",101204794,"4335","17","19",NA,"143.8","4"
"231",101205547,"4470","16","18",NA,"68.3","6"
"232",101209922,"2588","26","29","95.2",NA,NA
"233",101209997,"3386","21","24",NA,"72.9","4"
"234",101212618,"4056","19","22","116","14.0","12"
"235",101213143,"2608","28","31","107.1",NA,NA
"236",101213356,"3901","18","21",NA,NA,"8"
"237",101213729,"3782","15","17",NA,"61.2","6"
"238",101216523,"2578","28","32","97.9",NA,"4"
"239",101216524,"3161","24","28","120.2",NA,"6"
"240",101216526,"2306","29","32","100.4","27.8","4"
"241",101225901,"2127","36","37","77.3","16.7","4"
"242",101225986,"2693","26","28","112.5","50.4","4"
"243",101235876,"2363","30","33","85.1","30.1","6"
"244",101235882,"3763","20","22",NA,"72.5",NA
"245",101235883,"2568","28","32","82.0","24.0","6"
"246",101236304,"3081","23","26","97.5",NA,"6"
"247",101242798,"3515","20","22",NA,"74.6","4"
"248",101243611,"3889","18","20",NA,"64.0","6"
"249",101251003,"4156","16","19",NA,"62.0","11"
"250",101251407,"5224",NA,NA,NA,"236.5","2"
"251",101254327,"3400","21","24","108.5",NA,"7"
"252",101254342,"2954","28","31","103.0","41.3","6"
"253",101254343,"4275","19","21",NA,"150.0","4"
"254",101270097,"3627","19","22","92.4",NA,"6"
"255",101270101,"3605","19","22","112.5","13.5","6"
"256",101273312,"1808","33","36","53.2","7.8","2"
"257",101276754,"3362","18","22","99.6",NA,NA
"258",101277417,"4398","15","18",NA,"62.9","10"
"259",101286097,"2907","26","30","103.1",NA,"4"
"260",101286102,NA,"26","29","105",NA,"4"
"261",101286105,NA,"28","32","110.4",NA,"6"
"262",101286112,"3206","24","28","117.6",NA,"6"
"263",101286113,"3130","43","42","100.4",NA,"6"
"264",101287563,NA,"23","25",NA,"53.6","4"
"265",101288165,"3252","18","22","96.0",NA,"10"
"266",101293762,"2535","29","32","82.0","24.0","6"
"267",101293763,"3433","18","21",NA,"56.1","8"
"268",101296018,"3075","20","22","105.9",NA,"4"
"269",101310782,"2623","25","29","107.2",NA,"4"
"270",101321789,"3231","23","25",NA,"67.1","4"
"271",101321795,NA,"22","24",NA,NA,"2"
"272",101321952,"3669","34","32",NA,"66.1","4"
"273",101325677,"3285","22","25","116.8",NA,"4"
"274",101327237,NA,"22","26","112.8",NA,"6"
"275",101327700,"4753","17","19",NA,"71.0","8"
"276",101329650,"3190","25","28","118.1",NA,"6"
"277",101331382,"2693","26","28","112.5","50.4","4"
"278",101336014,"3300","21","25","109.3",NA,"8"
"279",101336110,NA,"21","25","105.9",NA,"8"
"280",101336165,"3250","21","22",NA,NA,"4"
"281",101336908,"3217","23","27","120.7",NA,"6"
"282",101339877,"2568","27","30","102.6",NA,"4"
"283",101343870,"4443","15","17",NA,NA,"4"
"284",101343993,"4090","20","22",NA,"57.3","10"
"285",101344259,"3979","16","18",NA,"54.7","8"
"286",101347652,"2859","25","28","105.9",NA,"4"
"287",101349884,"3786","22","26",NA,"63.7","6"
"288",101351364,"3360","22","24",NA,"73.0","6"
"289",101351631,"3231","23","25",NA,"66.3","4"
"290",101351639,"2615","25","27","126.0","53.4","4"
"291",101352065,"3455","19","22","98.7","13.0","13"
"292",101352850,"5840","15","17",NA,NA,"6"
"293",101356410,"1808","34","36","53.2","7.8","2"
"294",101357673,"2875","24","27","110.5",NA,"4"
"295",101357795,"2588","26","29","95.2",NA,NA
"296",101358288,"3386","21","24",NA,"72.9","4"
"297",101362264,"2804","24","28",NA,NA,NA
"298",101363292,"3042","51","50","115.3","39.6","6"
"299",101367006,"3688","19","21",NA,"78.2","6"
"300",101367575,"3515","20","22",NA,"74.6","4"
"301",101368762,"3548","20","23","105.5",NA,"8"
"302",101368853,"1808","33","36","53.2","7.8","2"
"303",101370710,"2489","27","29","111.4","57.3","4"
"304",101372439,"2734","28","31","104.4",NA,"4"
"305",101373067,"3599","22","25",NA,"60.5","7"
"306",101375674,"3274","44","42","131.5","67.3","6"
"307",101378514,"2910","25","28","108.9",NA,"4"
"308",101379654,"3471","27","33","107.9",NA,"6"
"309",101379657,"2866","25","28","105.9",NA,"4"
"310",101381534,"4960","16","19",NA,"75.2","10"
"311",101384399,"3360","21","23",NA,"129.6","2"
"312",101384659,"2578","29","33","97.9",NA,"4"
"313",101384756,"3208","26","29",NA,"64.8","4"
"314",101384757,"3165",NA,"95","115.3",NA,"6"
