"","styles.id","styles.drivewheels","styles.doors","categories.market","categories.vehiclesize","categories.vehiclestyle","engine.cylinder","engine.horsepower","engine.torque"
"252","100632169","all wheel drive","4","Crossover,Luxury","Midsize","4dr SUV","8","320","335"
"253","101270097","rear wheel drive","2","Luxury","Midsize","Coupe","6","330","270"
"254","101270101","rear wheel drive","4","Luxury","Midsize","Sedan","6","328","269"
"255","200459661","rear wheel drive","4","Luxury,Performance","Midsize","Sedan","6","328","269"
"256","200717598","rear wheel drive","4","Luxury,Performance","Midsize","Sedan","6","328","269"
"257","200698218","rear wheel drive","4","Crossover,Luxury","Midsize","4dr SUV","6","325","267"
"258","200462904","front wheel drive","4","Crossover","Midsize","4dr SUV","4","184","171"
"259","200700377","front wheel drive","4","Crossover,Flex Fuel","Midsize","4dr SUV","4","184","171"
"260","101287563","front wheel drive","4","Crossover","Compact","4dr SUV","4","158","141"
"261","200466216","front wheel drive","4","Crossover","Compact","4dr SUV","4","158","141"
"262","100775894","rear wheel drive","4","Crossover,Flex Fuel","Midsize","4dr SUV","6","210","235"
"263","101081441","rear wheel drive","4","Crossover,Flex Fuel,Diesel","Midsize","4dr SUV","6","210","235"
"264","101205547","rear wheel drive","4","Crossover,Flex Fuel","Midsize","4dr SUV","6","290","260"
"265","200459652","rear wheel drive","4","Crossover,Flex Fuel","Midsize","4dr SUV","6","290","260"
"266","401589181","rear wheel drive","4","Crossover,Flex Fuel","Midsize","4dr SUV","6","290","260"
"267","100907836","rear wheel drive","4","Crossover","Compact","4dr SUV","6","210","235"
"268","200737288","front wheel drive","4","Crossover","Compact","4dr SUV","4","158","141"
"269","200676131","front wheel drive","4","Crossover","Compact","4dr SUV","4","160","184"
"270","101085330","four wheel drive","2","N/A","Compact","Convertible SUV","6","202","237"
"271","101213729","four wheel drive","2","N/A","Compact","Convertible SUV","6","205","240"
"272","200438409","four wheel drive","2","N/A","Compact","Convertible SUV","6","285","260"
"273","200478375","four wheel drive","4","N/A","Midsize","Convertible SUV","6","285","260"
"274","200701245","four wheel drive","2","N/A","Compact","Convertible SUV","6","285","260"
"275","200747765","four wheel drive","2","N/A","Compact","Convertible SUV","6","285","260"
"276","101403454","front wheel drive","4","N/A","Compact","Sedan","4","156","144"
"277","200745337","front wheel drive","4","Performance","Compact","Sedan","4","173","154"
"278","101286112","front wheel drive","4","N/A","Midsize","Sedan","4","200","186"
"279","101415929","front wheel drive","4","N/A","Midsize","Sedan","4","200","186"
"280","200491111","front wheel drive","4","N/A","Midsize","Sedan","4","192","181"
"281","200419051","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","138","123"
"282","100687470","front wheel drive","4","N/A","Midsize","Passenger Minivan","6","242","251"
"283","101235882","front wheel drive","4","Crossover","Midsize","4dr SUV","4","175","169"
"284","101351639","front wheel drive","4","N/A","Compact","Wagon","4","138","123"
"285","200426349","front wheel drive","4","Performance","Compact","Wagon","4","164","148"
"286","200706813","front wheel drive","4","N/A","Compact","Wagon","4","130","118"
"287","100658867","front wheel drive","4","N/A","Compact","Sedan","4","138","136"
"288","101386719","front wheel drive","4","Crossover","Compact","4dr SUV","4","176","168"
"289","100478472","four wheel drive","4","Luxury","Midsize","4dr SUV","8","282","325"
"290","200701758","all wheel drive","2","Crossover,Luxury","Compact","2dr SUV","4","240","250"
"291","100828461","four wheel drive","4","Luxury","Midsize","4dr SUV","8","300","315"
"292","101418554","four wheel drive","4","Luxury","Midsize","4dr SUV","8","375","375"
"293","200724863","four wheel drive","4","Diesel,Luxury","Midsize","4dr SUV","6","254","443"
"294","101286113","front wheel drive","4","Hatchback,Luxury,Hybrid","Compact","4dr Hatchback","4","134","142"
"295","101411349","front wheel drive","4","Hatchback,Luxury,Hybrid","Compact","4dr Hatchback","4","134","142"
"296","200437667","front wheel drive","4","Hatchback,Luxury,Hybrid","Compact","4dr Hatchback","4","134","142"
"297","200673684","front wheel drive","4","Hatchback,Luxury,Hybrid","Compact","4dr Hatchback","4","134","142"
"298","200712380","front wheel drive","4","Luxury,Hybrid","Midsize","Sedan","4","200",NA
"299","200746207","front wheel drive","4","Luxury,Hybrid","Midsize","Sedan","4","200",NA
"300","100322064","front wheel drive","4","Luxury","Midsize","Sedan","6","225","240"
"301","101406759","four wheel drive","4","Luxury","Midsize","4dr SUV","8","301","329"
"302","101352065","rear wheel drive","4","Luxury","Midsize","Sedan","6","204","185"
"303","200443799","rear wheel drive","4","Luxury","Midsize","Sedan","6","204","185"
"304","200705857","rear wheel drive","4","Luxury","Midsize","Sedan","6","204","185"
"305","101413439","rear wheel drive","2","Luxury","Compact","Convertible","6","204","185"
"306","401594089","rear wheel drive","2","Luxury","Midsize","Coupe","4","241","258"
"307","101142322","front wheel drive","4","Crossover,Luxury","Midsize","4dr SUV","6","275","257"
"308","100905565","front wheel drive","4","Luxury","Midsize","Sedan","6","263","249"
"309","101216526","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","100","98"
"310","200488824","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","100","98"
"311","100463342","front wheel drive","4","N/A","Compact","Sedan","4","148","135"
"312","100614381","front wheel drive","4","N/A","Compact","Sedan","4","150","135"
"313","100786159","front wheel drive","4","N/A","Compact","Sedan","4","148","135"
"314","101148562","front wheel drive","4","N/A","Compact","Sedan","4","148","135"
"315","101347652","front wheel drive","4","N/A","Compact","Sedan","4","148","135"
"316","101379657","front wheel drive","4","N/A","Compact","Sedan","4","148","135"
"317","200439670","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","155","148"
"318","200475382","front wheel drive","4","N/A","Compact","Sedan","4","155","150"
"319","200703375","front wheel drive","4","Hatchback,Performance","Compact","4dr Hatchback","4","184","185"
"320","200743768","front wheel drive","4","Hatchback","Compact","4dr Hatchback","4","155","150"
"321","100948233","front wheel drive","4","N/A","Compact","Passenger Minivan","4","153","148"
"322","200673502","front wheel drive","4","N/A","Compact","Passenger Minivan","4","157","163"
"323","100463426","front wheel drive","4","N/A","Midsize","Sedan","4","160","155"
"324","100939797","front wheel drive","4","N/A","Midsize","Sedan","4","156","154"
"325","101395449","front wheel drive","4","N/A","Midsize","Sedan","4","170","167"
"326","200724973","front wheel drive","4","N/A","Midsize","Sedan","4","184","185"
"327","101384756","front wheel drive","4","Crossover","Midsize","4dr SUV","4","155","150"
"328","200459297","front wheel drive","4","Crossover","Midsize","4dr SUV","4","184","185"
"329","200726399","all wheel drive","4","Crossover","Midsize","4dr SUV","4","184","185"
"330","200441356","front wheel drive","4","Crossover,Performance","Large","4dr SUV","6","273","270"
"331","200442029","front wheel drive","4","Hatchback,Factory Tuner,Performance","Compact","4dr Hatchback","4","263","280"
"332","100612897","front wheel drive","4","N/A","Compact","Passenger Minivan","6","200","200"
"333","100563874","rear wheel drive","2","Performance","Compact","Convertible","4","170","140"
