"","document.id","styles.id","styles.trim","styles.drivewheels","styles.doors","categories.market","categories.epaclass","categories.vehiclesize","categories.bodytype","categories.vehiclestyle","categories.vehicletype","engine.cylinder","engine.displacement","engine.horsepower","engine.rpm.hp","engine.torque","engine.rpm.tq"
"555",1,"101319175","2.5L","front wheel drive","2","Hatchback","Subcompact Cars","Compact","Car","2dr Hatchback","Car","5","2480","170","5700","177","4250"
"556",1,"200482955","2.5L","front wheel drive","2","Hatchback","Compact Cars","Compact","Car","2dr Hatchback","Car","5","2480","170","5700","177","4250"
"557",1,"200713848","1.8T","front wheel drive","2","Hatchback","Compact Cars","Compact","Car","2dr Hatchback","Car","4","1798","170","4800","184","1500"
"558",1,"200483023","2.5L PZEV","front wheel drive","2","N/A","Subcompact Cars","Compact","Car","Convertible","Car","5","2480","170","5700","177","4250"
"559",1,"200436418","Executive SULEV","front wheel drive","2","N/A","Subcompact Cars","Compact","Car","Convertible","Car","4","1984","200","5100","207","1700"
"560",1,"101394744","2.5L","front wheel drive","2","Hatchback","Compact Cars","Compact","Car","2dr Hatchback","Car","5","2480","170","5700","177","4250"
"561",1,"200431776","2.0L TDI","front wheel drive","2","Hatchback,Diesel","Compact Cars","Compact","Car","2dr Hatchback","Car","4","1968","140","4000","236","1750"
"562",1,"401572278","TSI SEL","front wheel drive","4","Hatchback","Compact Cars","Compact","Car","4dr Hatchback","Car","4","1798","170","4500","200","1600"
"563",1,"200464113","S","front wheel drive","2","Hatchback,Performance","Compact Cars","Compact","Car","2dr Hatchback","Car","4","1984","210","4500","258","1500"
"564",1,"200751186","S","front wheel drive","2","Hatchback,Performance","Compact Cars","Compact","Car","2dr Hatchback","Car","4","1984","210","4500","258","1500"
"565",1,"200481648","TSI S","front wheel drive","4","N/A","Small Station Wagons","Compact","Car","Wagon","Car","4",NA,"170","4500","199","1600"
"566",1,"100924745","Base","front wheel drive","2","Hatchback,Performance","Compact Cars","Compact","Car","2dr Hatchback","Car","4","1984","200","5100","207","1800"
"567",1,"101162055","Base","front wheel drive","2","Hatchback,Performance","Compact Cars","Compact","Car","2dr Hatchback","Car","4","1984","200","5100","207","1800"
"568",1,"101336110","Base","front wheel drive","2","Hatchback,Performance","Compact Cars","Compact","Car","2dr Hatchback","Car","4","1984","200","5100","207","1800"
